volume,num,open,close,low,high,money,label
5.4724,74,8174.52,8174.62,8173.77,8175.48,44734.01794,8174.76
5.5511,38,8174.27,8174.75,8173.53,8176.75,45377.62853,8174.62
9.6872,102,8177.56,8174.27,8173.53,8181.28,79208.53671,8174.75
6.066230326,48,8178.28,8176.9,8176.9,8181.2,49614.37934,8174.27
7.0233,51,8177.17,8180,8176.85,8180,57433.45114,8176.9
7.764638413,64,8178.27,8176.9,8176.67,8180,63501.6549,8180
5.0586,104,8176.38,8176.62,8175.42,8178.25,41362.67791,8176.9
5.1444,64,8174.27,8176.79,8174.27,8177.32,42061.67468,8176.62
6.893,89,8174.05,8174.28,8170.85,8176.6,56342.66895,8176.79
15.4653,117,8170,8174.05,8169.99,8174.05,126360.4561,8174.28
28.65310024,150,8169.17,8170,8169.17,8170,234092.0564,8174.05
9.995633458,106,8169.18,8169.18,8169.12,8169.18,81656.11946,8170
53.7851,180,8168.61,8169.18,8168.45,8169.18,439378.3751,8169.18
10.154,101,8170,8169.18,8164.59,8170,82941.97113,8169.18
20.2289,90,8169.81,8169.79,8168.44,8170,165262.5016,8169.18
5.192283168,57,8168.4,8168.49,8168.4,8169.99,42418.51466,8169.79
6.703983168,74,8168.06,8168.88,8166.46,8169.99,54764.31011,8168.49
5.8745,71,8169.63,8168.01,8166.6,8169.98,47987.77213,8168.88
8.3706,106,8169.35,8169.36,8163.92,8169.6,68355.97004,8168.01
6.6741,52,8168.56,8169.36,8166.92,8169.36,54514.64476,8169.36
8.2938,72,8167.74,8168.56,8166.92,8169.99,67746.8633,8169.36
5.2535,68,8167.26,8168.46,8166.02,8169.99,42906.28092,8168.56
11.9535,131,8169.73,8165.38,8165.38,8170,97655.07039,8168.46
17.9301135,158,8176.2,8170,8169.73,8181.58,146573.6816,8165.38
31.7258,157,8175.78,8177.01,8174.96,8188.62,259488.523,8170
9.5482,90,8173.36,8174.97,8172.32,8175.85,78054.06062,8177.01
10.5217,56,8172.11,8172.19,8171.66,8172.9,85984.58482,8174.97
11.6603,70,8172.2,8171.88,8171.53,8172.21,95288.21007,8172.19
17.0326,100,8170.43,8171.53,8168.31,8172.21,139184.6663,8171.88
15.71352459,94,8165.81,8170.55,8165.81,8172.21,128376.4545,8171.53
6.164,58,8168.27,8166.59,8164.89,8169.73,50340.36313,8170.55
5.6185,58,8169.63,8168.27,8167.64,8169.63,45895.46283,8166.59
9.5712,61,8170.46,8169.27,8168.91,8171.99,78199.45836,8168.27
12.2739,62,8172.21,8170.47,8170.47,8172.21,100302.0949,8169.27
6.5858,49,8173.58,8172.21,8172.21,8174,53823.94704,8170.47
6.4052,62,8175.24,8173.71,8173.43,8175.26,52358.52477,8172.21
9.4216,53,8176.07,8175.27,8175.24,8176.07,77028.54841,8173.71
7.0848,66,8175.44,8176,8174.28,8177,57922.25308,8175.27
6.4104,89,8176.67,8175.02,8174.28,8180,52412.22458,8176
9.795135306,101,8176.67,8180,8174.91,8180,80096.1189,8175.02
9.081206586,95,8178,8176.26,8174.91,8180,74264.72661,8180
10.03213356,124,8176.66,8177.51,8172.65,8178.33,82021.83225,8176.26
6.3416,91,8172.46,8175.1,8172.15,8176.74,51843.85337,8177.51
7.846139563,90,8173.44,8172.46,8171.24,8176.14,64131.15783,8175.1
7.8725,67,8170.45,8172.63,8170.45,8174.57,64330.76074,8172.46
18.1767445,83,8169.66,8170.44,8168.31,8171,148511.4491,8172.63
9.655899342,102,8164.22,8168.43,8162.34,8170,78872.37146,8170.44
6.7362,70,8161.1,8164.78,8160.66,8165.59,54995.40578,8168.43
6.3074,62,8159.82,8161.01,8159.1,8161.48,51467.1688,8164.78
11.05793845,92,8159.99,8159.72,8158.16,8160.69,90228.1491,8161.01
7.7681,75,8158.94,8159.95,8155.18,8160,63369.77905,8159.72
5.4193,110,8156.74,8157.21,8154.13,8159.78,44206.86764,8159.95
3.4173,37,8155.08,8156.73,8155.08,8156.74,27872.4506,8157.21
4.661143289,90,8157.94,8154.27,8154.13,8158.6,38019.19349,8156.73
4.1794,70,8155.1,8157.91,8154.35,8157.91,34082.94568,8154.27
9.3475,101,8161.82,8155.1,8154.29,8162.04,76277.08515,8157.91
4.410140958,97,8162.17,8162.04,8159.19,8166.49,35998.05964,8155.1
6.785,104,8161.15,8163.84,8157.97,8165.67,55379.53353,8162.04
8.4201,88,8155.55,8156.46,8154.34,8161.74,68687.75909,8163.84
